,0,1,2,3,4,5,6,7,8,9,10,11
0,1654324200000,29691.86000000,29708.19000000,29673.16000000,29702.84000000,139.97623000,1654325099999,4155205.70425810,4788,77.17773000,2291034.53637920,0
1,1654325100000,29702.84000000,29714.00000000,29681.74000000,29694.90000000,148.25817000,1654325999999,4402817.68338850,5017,68.39928000,2031162.74226250,0
2,1654326000000,29694.90000000,29694.91000000,29646.27000000,29653.09000000,133.69102000,1654326899999,3966558.39972280,5283,46.62521000,1383274.76303120,0
3,1654326900000,29653.10000000,29679.59000000,29653.09000000,29668.84000000,113.60798000,1654327799999,3370396.30707510,4337,61.11926000,1813120.38255760,0
4,1654327800000,29668.84000000,29703.24000000,29668.84000000,29684.18000000,133.86699000,1654328699999,3974830.28079180,4624,75.76341000,2249550.63679550,0
5,1654328700000,29684.19000000,29705.81000000,29684.18000000,29700.96000000,97.09553000,1654329599999,2883217.23504760,4396,60.21588000,1788045.24691100,0
6,1654329600000,29700.96000000,29717.54000000,29681.16000000,29696.54000000,160.43492000,1654330499999,4765415.11506650,5486,83.68937000,2485729.15328240,0
7,1654330500000,29696.54000000,29774.91000000,29696.54000000,29730.43000000,237.51256000,1654331399999,7063845.49185140,7080,143.33563000,4262745.59147620,0
8,1654331400000,29730.42000000,29800.00000000,29730.42000000,29776.47000000,278.39712000,1654332299999,8289366.06739720,7061,148.62198000,4425115.11874890,0
9,1654332300000,29776.47000000,29777.30000000,29740.87000000,29750.03000000,149.37202000,1654333199999,4444386.94276880,5582,69.28689000,2061548.77286810,0
10,1654333200000,29750.03000000,29765.85000000,29732.41000000,29765.85000000,202.39830000,1654334099999,6021485.39450500,5725,93.75524000,2789255.73280460,0
11,1654334100000,29765.84000000,29771.32000000,29731.37000000,29738.26000000,237.87888000,1654334999999,7074613.28656350,6187,103.37529000,3074208.82399800,0
12,1654335000000,29738.26000000,29738.26000000,29673.64000000,29685.21000000,317.08705000,1654335899999,9419034.46034130,7403,112.49412000,3340897.16239600,0
13,1654335900000,29685.21000000,29724.97000000,29685.21000000,29724.96000000,126.75197000,1654336799999,3764912.16101680,4780,78.58344000,2333890.94584370,0
14,1654336800000,29724.96000000,29759.11000000,29724.96000000,29750.11000000,214.64617000,1654337699999,6384965.91447780,5787,118.01031000,3510159.50295940,0
15,1654337700000,29750.11000000,29791.04000000,29735.12000000,29735.13000000,230.96469000,1654338599999,6874217.21253190,5245,120.16341000,3576713.61081340,0
16,1654338600000,29735.12000000,29737.93000000,29706.70000000,29710.86000000,235.24639000,1654339499999,6992150.50409900,4937,85.45331000,2539770.57278920,0
17,1654339500000,29710.86000000,29729.90000000,29709.54000000,29729.90000000,150.31917000,1654340399999,4466991.07284360,4051,72.03743000,2140722.64301330,0
18,1654340400000,29729.90000000,29742.09000000,29729.44000000,29738.35000000,66.41517000,1654341299999,1974856.76606200,3824,33.54130000,997355.97801960,0
19,1654341300000,29738.35000000,29738.35000000,29701.11000000,29701.80000000,219.72063000,1654342199999,6528396.42297130,5714,65.19760000,1937023.26968500,0
20,1654342200000,29701.80000000,29741.42000000,29700.30000000,29719.67000000,145.86421000,1654343099999,4335387.95454880,4846,84.94767000,2524915.66697180,0
21,1654343100000,29719.67000000,29723.42000000,29594.91000000,29681.69000000,465.04995000,1654343999999,13790131.96279490,9636,220.53527000,6538292.06418400,0
22,1654344000000,29681.68000000,29703.64000000,29611.24000000,29641.27000000,329.91881000,1654344899999,9783326.67246600,9688,165.63449000,4912346.60110380,0
23,1654344900000,29641.26000000,29652.25000000,29585.52000000,29600.00000000,287.13420000,1654345799999,8502005.70664540,7745,107.96065000,3196811.75543440,0
24,1654345800000,29599.99000000,29624.82000000,29536.94000000,29556.45000000,262.94304000,1654346699999,7777912.45835980,6674,95.10258000,2813224.00240160,0
25,1654346700000,29556.46000000,29578.64000000,29516.01000000,29538.00000000,254.57740000,1654347599999,7522715.47943720,6350,115.22219000,3404713.92909710,0
26,1654347600000,29538.00000000,29654.52000000,29522.99000000,29600.00000000,390.52971000,1654348499999,11559384.20377460,7774,233.99974000,6926397.16315490,0
27,1654348500000,29600.00000000,29642.78000000,29558.29000000,29642.77000000,284.71533000,1654349399999,8427338.94496610,6501,133.05509000,3939284.77064050,0
28,1654349400000,29642.77000000,29642.78000000,29596.65000000,29604.71000000,124.45299000,1654350299999,3686054.05096140,4826,51.83816000,1535265.82554110,0
29,1654350300000,29604.70000000,29604.71000000,29575.96000000,29596.11000000,161.03659000,1654351199999,4765258.80426130,5369,78.59945000,2325914.78242570,0
30,1654351200000,29596.11000000,29604.69000000,29485.00000000,29541.20000000,403.00472000,1654352099999,11898343.41543020,8958,148.33132000,4378437.19607660,0
31,1654352100000,29541.20000000,29781.71000000,29531.17000000,29737.11000000,746.39918000,1654352999999,22148302.12680950,11769,486.09615000,14424183.53639180,0
32,1654353000000,29737.11000000,29988.88000000,29674.61000000,29772.13000000,1325.50797000,1654353899999,39527418.45716130,19743,720.77560000,21501192.97384560,0
33,1654353900000,29772.13000000,29826.52000000,29746.16000000,29777.32000000,319.85076000,1654354799999,9528005.98606310,8196,141.21782000,4206549.35461560,0
34,1654354800000,29777.31000000,29843.68000000,29758.31000000,29804.70000000,392.14390000,1654355699999,11685860.80884400,7597,227.40596000,6776867.51712900,0
35,1654355700000,29804.70000000,29884.99000000,29750.29000000,29860.92000000,438.88015000,1654356599999,13083358.73803090,8547,249.25193000,7430287.36849430,0
36,1654356600000,29860.93000000,29888.01000000,29802.53000000,29806.00000000,339.59028000,1654357499999,10134613.05615960,8152,168.01349000,5013925.94010900,0
37,1654357500000,29805.99000000,29858.80000000,29795.55000000,29858.80000000,322.09393000,1654358399999,9609018.63273050,6888,191.68478000,5718787.89331640,0
38,1654358400000,29858.79000000,29858.80000000,29795.94000000,29808.01000000,338.93611000,1654359299999,10108050.80990670,7341,135.69318000,4046841.18572940,0
39,1654359300000,29808.01000000,29827.89000000,29770.89000000,29774.33000000,191.27413000,1654360199999,5698902.65841410,5990,94.01405000,2801233.52456500,0
40,1654360200000,29774.32000000,29796.26000000,29760.00000000,29785.02000000,269.90199000,1654361099999,8037386.58338870,5334,180.37104000,5371381.25431000,0
41,1654361100000,29785.01000000,29787.83000000,29747.63000000,29751.41000000,338.37552000,1654361999999,10070829.92657570,5270,143.55905000,4272915.35321490,0
42,1654362000000,29751.41000000,29755.24000000,29670.00000000,29676.28000000,265.41440000,1654362899999,7887463.39067100,7076,71.42968000,2122364.42334640,0
43,1654362900000,29676.29000000,29682.13000000,29613.26000000,29654.61000000,360.53391000,1654363799999,10690171.66253600,7594,179.53294000,5323286.83160260,0
44,1654363800000,29654.62000000,29717.36000000,29613.40000000,29685.85000000,212.23912000,1654364699999,6298998.61161160,6272,120.14758000,3565788.44795020,0
45,1654364700000,29685.84000000,29737.69000000,29685.84000000,29712.52000000,179.60852000,1654365599999,5337085.55586450,4986,93.95379000,2792027.01524080,0
46,1654365600000,29712.52000000,29792.27000000,29712.51000000,29771.92000000,204.04363000,1654366499999,6072170.36519600,5856,120.69662000,3591663.54149340,0
47,1654366500000,29771.92000000,29787.74000000,29746.20000000,29747.81000000,260.69081000,1654367399999,7759677.47177300,5418,152.02320000,4524957.45833500,0
48,1654367400000,29747.82000000,29799.82000000,29747.81000000,29782.88000000,177.44460000,1654368299999,5284569.24203370,5178,107.90228000,3213615.03683360,0
49,1654368300000,29782.88000000,29793.30000000,29768.01000000,29768.67000000,120.10141000,1654369199999,3576348.44856000,4851,47.41360000,1411829.17984100,0
50,1654369200000,29768.68000000,29775.37000000,29714.20000000,29719.84000000,238.15148000,1654370099999,7082700.22934750,5937,125.84327000,3742589.10468730,0
51,1654370100000,29719.84000000,29725.63000000,29706.11000000,29709.09000000,126.95975000,1654370999999,3772714.31349420,4152,86.34115000,2565638.64110080,0
52,1654371000000,29709.09000000,29709.09000000,29634.05000000,29648.18000000,214.99266000,1654371899999,6378048.91477450,5471,105.79428000,3137922.36100210,0
53,1654371900000,29648.19000000,29673.99000000,29646.34000000,29655.41000000,161.45576000,1654372799999,4788274.56657930,4912,98.22623000,2912930.21899700,0
54,1654372800000,29655.41000000,29698.64000000,29632.05000000,29635.40000000,137.60552000,1654373699999,4082333.46235840,5562,67.84218000,2012643.49651230,0
55,1654373700000,29635.40000000,29731.61000000,29635.40000000,29715.82000000,170.85982000,1654374599999,5075209.40505430,5269,104.58299000,3106161.96887770,0
56,1654374600000,29715.81000000,29736.70000000,29715.81000000,29732.58000000,146.42348000,1654375499999,4353524.35356100,4138,79.78221000,2372098.74353830,0
57,1654375500000,29732.58000000,29750.00000000,29711.53000000,29749.77000000,165.35005000,1654376399999,4916239.43443550,4175,114.18198000,3395072.21027640,0
58,1654376400000,29749.77000000,29775.98000000,29749.76000000,29763.68000000,154.44096000,1654377299999,4597289.63501560,5128,81.97929000,2440338.20408870,0
59,1654377300000,29763.68000000,29784.28000000,29745.78000000,29760.35000000,159.03500000,1654378199999,4734020.34851990,4631,53.92675000,1605374.85845750,0
60,1654378200000,29760.35000000,29844.43000000,29745.51000000,29826.46000000,94.28595000,1654379099999,2808588.11926260,5701,55.92604000,1665777.11820710,0
61,1654379100000,29826.46000000,29862.57000000,29760.47000000,29846.33000000,205.02289000,1654379999999,6112339.30530350,6234,122.24561000,3644311.61294890,0
62,1654380000000,29846.33000000,29977.99000000,29824.89000000,29924.44000000,824.84183000,1654380899999,24661198.16510520,13121,486.64851000,14549203.93698460,0
63,1654380900000,29924.44000000,29976.67000000,29849.88000000,29857.93000000,476.39177000,1654381799999,14252130.75874240,9738,254.53352000,7615597.55369460,0
64,1654381800000,29857.92000000,29877.57000000,29791.65000000,29794.74000000,180.27197000,1654382699999,5378655.73076190,5509,77.51214000,2312769.34495190,0
65,1654382700000,29794.73000000,29829.71000000,29794.73000000,29808.01000000,176.85261000,1654383599999,5273499.23318010,4559,74.58001000,2223617.64018510,0
66,1654383600000,29808.02000000,29825.23000000,29784.70000000,29813.11000000,145.24623000,1654384499999,4329103.85468220,5159,62.39282000,1859713.08664380,0
67,1654384500000,29813.11000000,29820.80000000,29771.22000000,29778.07000000,267.16814000,1654385399999,7959020.22558650,6077,113.02598000,3367060.76128180,0
68,1654385400000,29778.07000000,29806.96000000,29778.06000000,29796.69000000,111.05606000,1654386299999,3308915.23314080,3963,62.95979000,1875809.08446530,0
69,1654386300000,29796.69000000,29869.40000000,29788.11000000,29864.04000000,225.44214000,1654387199999,6725660.28031860,4985,142.80798000,4260294.79156110,0
70,1654387200000,29864.03000000,29883.93000000,29813.11000000,29865.46000000,223.18885000,1654388099999,6661612.49153630,6109,126.25682000,3768190.26510100,0
71,1654388100000,29865.46000000,29897.18000000,29865.45000000,29868.06000000,148.32182000,1654388999999,4432270.63228960,4645,76.28468000,2279634.05002510,0
72,1654389000000,29868.06000000,29868.07000000,29792.70000000,29793.50000000,173.06617000,1654389899999,5164124.40264590,5937,52.24495000,1558741.65482310,0
73,1654389900000,29793.50000000,29802.83000000,29729.37000000,29740.64000000,238.27385000,1654390799999,7091809.66204570,6294,77.51494000,2307351.09351930,0
74,1654390800000,29740.64000000,29755.23000000,29702.41000000,29708.23000000,223.98629000,1654391699999,6658151.83201790,6692,100.56912000,2989402.67124610,0
75,1654391700000,29708.23000000,29738.74000000,29681.85000000,29731.67000000,314.68561000,1654392599999,9347483.61211740,6932,127.77766000,3795281.39911310,0
76,1654392600000,29731.67000000,29750.00000000,29703.15000000,29721.73000000,120.57692000,1654393499999,3584556.97639660,5134,56.41858000,1677056.99803920,0
77,1654393500000,29721.74000000,29735.52000000,29691.73000000,29691.74000000,202.98217000,1654394399999,6031922.00939920,5492,77.04220000,2289361.61692210,0
78,1654394400000,29691.73000000,29795.25000000,29678.50000000,29788.39000000,225.00331000,1654395299999,6691372.35461630,6215,136.23609000,4051077.19990420,0
79,1654395300000,29788.39000000,29799.99000000,29774.55000000,29792.90000000,144.51686000,1654396199999,4304420.36103650,4860,56.57801000,1685151.22611530,0
80,1654396200000,29792.91000000,29795.77000000,29766.41000000,29782.20000000,101.61325000,1654397099999,3026345.51163370,3957,46.63503000,1388916.40751260,0
81,1654397100000,29782.20000000,29796.31000000,29773.66000000,29793.99000000,121.70807000,1654397999999,3625779.01621860,3731,50.48452000,1503944.00489900,0
82,1654398000000,29793.99000000,29795.99000000,29749.75000000,29781.36000000,152.51144000,1654398899999,4540267.85432300,4453,65.67599000,1954900.63174210,0
83,1654398900000,29781.36000000,29819.95000000,29776.88000000,29795.71000000,115.59326000,1654399799999,3444957.53524670,4628,48.73126000,1452265.16762520,0
84,1654399800000,29795.70000000,29808.40000000,29751.33000000,29765.73000000,116.39431000,1654400699999,3466950.13067650,4239,49.89763000,1486213.13475570,0
85,1654400700000,29765.73000000,29766.95000000,29748.88000000,29766.95000000,89.60290000,1654401599999,2666047.88521060,3509,38.08321000,1133079.72150530,0
86,1654401600000,29766.95000000,29782.19000000,29690.92000000,29696.79000000,289.74730000,1654402499999,8613906.19618770,6574,94.60774000,2811898.29038000,0
87,1654402500000,29696.78000000,29717.22000000,29686.00000000,29715.97000000,137.32506000,1654403399999,4078741.03051230,4560,66.56113000,1977050.96790410,0
88,1654403400000,29715.96000000,29737.02000000,29704.82000000,29725.42000000,118.07878000,1654404299999,3509618.13549270,3862,69.39610000,2062607.33055510,0
89,1654404300000,29725.43000000,29755.09000000,29722.89000000,29722.90000000,101.42227000,1654405199999,3016393.07377190,3488,58.28334000,1733340.40226390,0
90,1654405200000,29722.90000000,29761.05000000,29722.89000000,29761.04000000,78.32247000,1654406099999,2329648.43600000,3727,42.82868000,1273846.39681890,0
91,1654406100000,29761.04000000,29801.23000000,29751.09000000,29801.22000000,107.69198000,1654406999999,3206200.54950500,4079,70.89781000,2110903.95466160,0
92,1654407000000,29801.23000000,29812.50000000,29785.23000000,29795.83000000,132.00319000,1654407899999,3933717.19687060,4738,61.61135000,1836060.09800530,0
93,1654407900000,29795.84000000,29819.85000000,29788.00000000,29793.95000000,121.86618000,1654408799999,3631935.38523660,4659,64.73325000,1929180.38747720,0
94,1654408800000,29793.94000000,29796.83000000,29782.11000000,29786.38000000,64.41581000,1654409699999,1918811.00220940,4027,23.51788000,700528.54258400,0
95,1654409700000,29787.07000000,29787.46000000,29763.73000000,29772.71000000,83.63379000,1654410599999,2490132.08020880,3554,36.19981000,1077776.43477820,0
